epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,7048.09,0.66571,0.58196,1.20915,0.02908,0.95077,0.95932,0.9636,0.90536,0.41349,0.31358,1.15201,0.05641,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,7164.55,0.66498,0.58487,1.20849,0.02836,0.95009,0.95854,0.96272,0.90421,0.4126,0.31171,1.15046,0.05638,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,7281.26,0.66331,0.58055,1.20463,0.02823,0.94985,0.95832,0.96228,0.90342,0.41181,0.31081,1.14892,0.05622,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,7397.63,0.66287,0.57929,1.20308,0.02808,0.94882,0.95794,0.96251,0.90376,0.41135,0.3094,1.14808,0.05617,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,7514.26,0.6607,0.57329,1.20329,0.0287,0.94864,0.95838,0.96218,0.90292,0.4111,0.30969,1.14832,0.05567,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,7630.44,0.65936,0.56871,1.19903,0.0275,0.94778,0.95909,0.96338,0.90418,0.40993,0.31093,1.14515,0.05533,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,7746.98,0.66053,0.57771,1.20214,0.02761,0.94858,0.95945,0.96364,0.90423,0.41003,0.30998,1.1453,0.05562,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,7863.13,0.65659,0.57467,1.20031,0.02687,0.94862,0.95895,0.96392,0.90453,0.40946,0.30869,1.14496,0.05588,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,7979.92,0.6535,0.56803,1.19614,0.0272,0.94885,0.95885,0.96427,0.90464,0.40789,0.30902,1.14277,0.05567,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,8096.89,0.65619,0.57382,1.20119,0.02733,0.94928,0.95885,0.96422,0.90554,0.4066,0.31013,1.14133,0.05573,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,8213.58,0.64773,0.56086,1.19445,0.02701,0.94887,0.95886,0.96457,0.90577,0.40611,0.30973,1.14109,0.05586,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,8330.75,0.64846,0.56738,1.19222,0.02682,0.948,0.95616,0.96399,0.90518,0.40492,0.30916,1.13859,0.05592,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,8447.65,0.6466,0.55946,1.19081,0.02668,0.94832,0.95633,0.9636,0.90458,0.40521,0.30972,1.13874,0.05589,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,8564.72,0.64474,0.55844,1.19133,0.02641,0.94917,0.95874,0.96447,0.90543,0.40504,0.31254,1.13814,0.05583,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,8681.9,0.64285,0.55753,1.18967,0.02601,0.94919,0.95894,0.96465,0.90512,0.40507,0.31196,1.13831,0.05596,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,8798.96,0.64346,0.5543,1.18462,0.02537,0.94773,0.95681,0.96411,0.90406,0.40487,0.31177,1.13849,0.05605,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,8915.68,0.63974,0.55185,1.18683,0.02555,0.94768,0.95687,0.96422,0.90432,0.40398,0.31114,1.13803,0.05609,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,9032.18,0.63604,0.54498,1.18151,0.02505,0.94768,0.95707,0.96418,0.9045,0.40337,0.3104,1.13835,0.05603,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,9149.06,0.63917,0.55079,1.18518,0.02562,0.948,0.95966,0.96434,0.90428,0.40308,0.31001,1.13834,0.05588,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,9265.81,0.63526,0.54757,1.18152,0.02508,0.94741,0.95757,0.96397,0.90362,0.40309,0.30914,1.13866,0.0558,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,9382.99,0.64161,0.55795,1.18844,0.02603,0.94724,0.95757,0.96423,0.90476,0.40346,0.30864,1.13845,0.05581,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,9499.66,0.63653,0.54943,1.18207,0.02523,0.94694,0.95752,0.96394,0.90461,0.40332,0.30774,1.13775,0.0556,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
